artist,album,key,local,spotify_album_uri,album_art
Baker Boy,Gela,1,0,6U4EyQWAc1wCohtIV3wBqz,https://a5.mzstatic.com/us/r1000/0/Music115/v4/4e/9b/d4/4e9bd459-8f9c-b72d-572d-aafb16ce616d/21UMGIM59997.rgb.jpg
Death Cab For Cutie,Photo Album,2,0,7sghJ5kN7CzwSNPf6XT56B,
Bennies,Better Off Dread,3,0,3gF0J8CErJorLigVmG28uJ,
Camp Cope,Camp Cope,4,0,53psVCWzTzrCYEYJGF9Qh5,
Amyl and the Sniffers,Comfort to Me,5,0,24JeT9uxcmqL227jId3Pci,
Hots,Shit Capitalists,6,0,1OEEk0UJaxR55lRz2BXZtH,
Courtney Barnett,"Sometimes I sit and think, and sometimes I just sit",7,0,6PosCDToF5fOdEjTI5PsDX,
Death Cab For Cutie,We have the facts and we're voting yes,8,0,1oUL840sk84LVL8ExFKLXp,
Beyonce,Lemonade,9,0,7dK54iZuOxXFarGhXwEXfF,
Death Cab For Cutie,Plans,10,0,1NFGnxmeIEBakre4DvLaJq,https://a5.mzstatic.com/us/r1000/0/Music115/v4/03/0d/0c/030d0c02-4186-a22a-ada6-a13348069d8d/075679930491.jpg
Huntly,Sentimental Still,11,0,0i2fEh3aK7yNgNKP3OubFw,
Death Cab For Cutie,Transatlantacism,12,0,7jwLAtPHF7TW7dtELtayOd,
Katy Perry,Teenage Dream,13,0,2eQMC9nJE3f3hCNKlYYHL1,
The Postal Service,Give Up,14,0,1BSwkKATGVCMgNuN8ve7mz,https://a5.mzstatic.com/us/r1000/0/Music126/v4/2d/3e/f5/2d3ef561-8fc8-109d-c04d-824ab6f3c984/098787104561.png
Amyl and the Sniffers,Amyl and the Sniffers,15,0,6t7YSHZnWeHjvj9bMhnSEa,
Beyonce,Renaissance,16,0,6FJxoadUE4JNVwWHghBwnb,
Pekka Pohjola,Harakka Bialoipokku,17,0,3Y1XUm3cSiO8Zu7ryz1w0H,
Alanis Morissette,Jagged Little Pill,18,0,5Ap3F8CxjjsQKZGASDcHNA,
Death Cab For Cutie,Narrow Stairs,19,0,7G84Q2FcA43cjLeWBSIedv,
Regina Spektor,Far,20,0,5t0lQDPLF22wmWCtSZkIVv,https://a5.mzstatic.com/us/r1000/0/Features115/v4/d7/0b/ce/d70bce35-ec3f-7448-a597-24cb4536f832/dj.vtzgmsxk.jpg
Death Cab For Cutie,More Scared Of You Than You Are Of Me,21,0,4S0u2EwWBpnucVikLoIKx8,
The Front Bottoms,Talon Of the Hawk,22,0,1Xz5zrDqXetBm5HwNGSqPs,
Billie Eilish,"When We All Fall Asleep, Where Do We Go?",23,0,0S0KGZnfBGSIssfF54WSJh,
The Avalanches,Since I Left You,24,0,1AAYbsAIgEJMbxgLgpjE9y,
Pigeon Pit,Shut In,25,0,2vvB2Q0Hyekckd7ic6wOrf,
Boomgates,Double Natural,26,0,4AjgAhpj3nJ54ynDTtRY9L,
Tkay Maidza,Last Year Was Weird,27,0,0R12WqnT0IG2wZRpOl8NYU,
Nicki Minaj,Queen Radio,28,0,1ia27ME4iQkoIyUHBnJqX6,
Nicki Minaj,Beam Me Up Scotty,29,0,2upw5IrzeqKApIQZyx5o6r,
Nicki Minaj,Pink Friday,30,0,7aADdYLiK1z7GlMFr0UIZw,
Lorde,Melodrama,31,0,2B87zXm9bOWvAJdkJBTpzF,
Camp Cope,Camp Cope,32,0,53psVCWzTzrCYEYJGF9Qh5,
Tempers,Private life,33,0,1aPv6zzzcHcUsluBtytmpr,https://a5.mzstatic.com/us/r1000/0/Music124/v4/a5/20/a4/a520a4cf-d41a-b0f7-98f3-38410c4ae27e/758475506755.jpg
Death Cab For Cutie,Transatlanticism demos,34,0,4EArM6cwuhMdUU07xozw5C,https://a5.mzstatic.com/us/r1000/0/Music124/v4/09/55/a7/0955a763-4f5d-377f-63b6-029b85abc169/655173993224.jpg
HTRK,"Work (Work, Work)",35,0,4SPpqzHdYlgHZvI4S1TzPp,https://a5.mzstatic.com/us/r1000/0/Music2/v4/c2/6d/42/c26d4251-0db2-73a1-8a89-bf1e5879d68f/cover.jpg
Bright Eyes,Fevers and mirrors,36,0,1VPu5FJq5wg0BNJXRL6cqC,https://a5.mzstatic.com/us/r1000/0/Music125/v4/c2/e1/a5/c2e1a59a-2664-3807-c423-124d7af39572/491.jpg
Banks,Goddess,37,0,7Kqq7EOubrf7bSaiyhfWY3,https://a5.mzstatic.com/us/r1000/0/Music112/v4/bb/89/4d/bb894ded-b699-0a26-ba72-2a9db9fab99c/14UMGIM14997.rgb.jpg
Bright Eyes,I'm wide awake it's morning,38,0,6MwSuZphL6GmuSVIYUGUF7,
Daughter,His young heart,39,0,16otwol8zNdgUcOPMfWNcP,
Lykke Li,I never learn,40,0,4fGqfyineAZmulNxgitERh,
Placebo,Covers,41,0,7kTsa1wUFrahJJf1cJEOpZ,
Placebo,Sleeping with ghosts,42,0,2toHnQWm3IbSocaWGYi9J4,
Orville Peck,Pony,43,0,3950FHVErcINW3tjRgjebQ,
My Chemical Romance,The black parade,44,0,0FZK97MXMm5mUQ8mtudjuK,
My Chemical Romance,Three cheers for sweet revenge,45,0,3DuiGV3J09SUhvp8gqNx8h,
The Shins,Wincing the night away,46,0,4Tm0dXi3s3aSAqng2DACHr,
Placebo,Without you I'm nothing,47,0,4wxoPjHSYFYurNyKaEiZNT,
Fall out boy,From under the cork tree,48,0,5nkUSlIhtoJZMOUlB0sNCp,
